date,houses,furniture,materials
1/1/1992,1176,3846,7637
2/1/1992,1250,3908,7567
3/1/1992,1297,4157,8718
4/1/1992,1099,4141,9330
5/1/1992,1214,4275,9731
6/1/1992,1145,4357,10178
7/1/1992,1139,4407,9981
8/1/1992,1226,4446,9742
9/1/1992,1186,4328,9813
10/1/1992,1244,4497,10018
11/1/1992,1214,4687,8835
12/1/1992,1227,5287,8765
1/1/1993,1210,4104,7746
2/1/1993,1210,3908,7932
3/1/1993,1083,4369,9408
4/1/1993,1258,4372,10146
5/1/1993,1260,4535,10769
6/1/1993,1280,4568,11083
7/1/1993,1254,4682,10813
8/1/1993,1300,4733,10905
9/1/1993,1343,4621,10578
10/1/1993,1392,4775,10711
11/1/1993,1376,5158,10388
12/1/1993,1533,5631,9947
1/1/1994,1272,4018,8393
2/1/1994,1337,4140,8487
3/1/1994,1564,4827,10682
4/1/1994,1465,4700,11314
5/1/1994,1526,4867,12236
6/1/1994,1409,4958,12445
7/1/1994,1439,4980,11852
8/1/1994,1450,5356,12720
9/1/1994,1474,5203,12139
10/1/1994,1450,5328,12266
11/1/1994,1511,5734,11557
12/1/1994,1455,6305,11008
1/1/1995,1407,4649,9734
2/1/1995,1316,4410,9496
3/1/1995,1249,5084,11445
4/1/1995,1267,4818,11416
5/1/1995,1314,5195,12980
6/1/1995,1281,5196,12995
7/1/1995,1461,5190,12125
8/1/1995,1416,5506,12894
9/1/1995,1369,5418,12234
10/1/1995,1369,5505,12767
11/1/1995,1452,6090,11864
12/1/1995,1431,6409,11078
1/1/1996,1467,4788,10050
2/1/1996,1491,4833,10148
3/1/1996,1424,5410,11357
4/1/1996,1516,5310,12751
5/1/1996,1504,5603,13919
6/1/1996,1467,5479,13529
7/1/1996,1472,5673,13874
8/1/1996,1557,5893,13765
9/1/1996,1475,5589,12970
10/1/1996,1392,5970,14060
11/1/1996,1489,6425,12549
12/1/1996,1370,6734,11481
1/1/1997,1355,5311,10767
2/1/1997,1486,5116,10740
3/1/1997,1457,5715,12563
4/1/1997,1492,5670,14083
5/1/1997,1442,6010,14943
6/1/1997,1494,5805,14716
7/1/1997,1437,6027,15012
8/1/1997,1390,6263,14189
9/1/1997,1546,6094,14506
10/1/1997,1520,6369,15003
11/1/1997,1510,6781,12799
12/1/1997,1566,7554,12747
1/1/1998,1525,5822,11400
2/1/1998,1584,5581,11326
3/1/1998,1567,6162,13453
4/1/1998,1540,6038,14815
5/1/1998,1536,6225,15323
6/1/1998,1641,6310,16078
7/1/1998,1698,6466,15875
8/1/1998,1614,6502,15048
9/1/1998,1582,6329,15191
10/1/1998,1715,6693,15676
11/1/1998,1660,7186,14025
12/1/1998,1792,8098,13991
1/1/1999,1748,5922,12020
2/1/1999,1670,5996,12508
3/1/1999,1710,6790,15156
4/1/1999,1553,6481,16239
5/1/1999,1611,6684,16717
6/1/1999,1559,6853,17403
7/1/1999,1669,6961,16977
8/1/1999,1648,7240,16878
9/1/1999,1635,7139,16299
10/1/1999,1608,7339,16470
11/1/1999,1648,8006,16032
12/1/1999,1708,8883,15217
1/1/2000,1636,6638,13314
2/1/2000,1737,6989,14047
3/1/2000,1604,7622,17061
4/1/2000,1626,7134,16665
5/1/2000,1575,7635,18953
6/1/2000,1559,7487,18499
7/1/2000,1463,7508,17261
8/1/2000,1541,7974,17919
9/1/2000,1507,7535,16546
10/1/2000,1549,7667,17228
11/1/2000,1551,8346,15650
12/1/2000,1532,8635,14506
1/1/2001,1600,7050,13744
2/1/2001,1625,6797,13643
3/1/2001,1590,7572,16488
4/1/2001,1649,6940,18241
5/1/2001,1605,7551,20031
6/1/2001,1636,7491,19188
7/1/2001,1670,7456,18559
8/1/2001,1567,7971,19031
9/1/2001,1562,7078,16828
10/1/2001,1540,7603,18712
11/1/2001,1602,8548,17111
12/1/2001,1568,9427,15444
1/1/2002,1698,7149,14957
2/1/2002,1829,7091,14458
3/1/2002,1642,7777,16873
4/1/2002,1592,7370,20038
5/1/2002,1764,7991,20917
6/1/2002,1717,7502,19357
7/1/2002,1655,7671,19721
8/1/2002,1633,8205,19365
9/1/2002,1804,7456,18240
10/1/2002,1648,7859,19474
11/1/2002,1753,8839,17593
12/1/2002,1788,9528,16191
1/1/2003,1853,7190,15619
2/1/2003,1629,6713,14083
3/1/2003,1726,7618,17619
4/1/2003,1643,7374,19876
5/1/2003,1751,8078,20984
6/1/2003,1867,7753,20946
7/1/2003,1897,8074,21465
8/1/2003,1833,8384,20425
9/1/2003,1939,8017,20775
10/1/2003,1967,8351,21669
11/1/2003,2083,9018,18897
12/1/2003,2057,10166,18613
1/1/2004,1911,7651,16526
2/1/2004,1846,7613,16258
3/1/2004,1998,8499,21879
4/1/2004,2003,7991,23351
5/1/2004,1981,8112,23595
6/1/2004,1828,8443,24738
7/1/2004,2002,8895,23341
8/1/2004,2024,8883,23253
9/1/2004,1905,8441,22852
10/1/2004,2072,8718,22415
11/1/2004,1782,9594,21872
12/1/2004,2042,10917,21120
1/1/2005,2144,7908,18474
2/1/2005,2207,7973,18255
3/1/2005,1864,8787,23435
4/1/2005,2061,8418,25194
5/1/2005,2025,8649,26549
6/1/2005,2068,8966,26863
7/1/2005,2054,8957,24677
8/1/2005,2095,9607,25872
9/1/2005,2151,9216,25192
10/1/2005,2065,9110,25244
11/1/2005,2147,10232,24435
12/1/2005,1994,11297,22414
1/1/2006,2273,8595,21699
2/1/2006,2119,8457,21119
3/1/2006,1969,9412,26691
4/1/2006,1821,8556,26428
5/1/2006,1942,9209,29070
6/1/2006,1802,9447,27883
7/1/2006,1737,9244,25437
8/1/2006,1650,9940,26886
9/1/2006,1720,9511,24150
10/1/2006,1491,9178,25298
